"hospital_name","district","nearest_sh","distance_meters"
"Government Hospital Tihari","Ajmer","Ajmer-Srinagar-Arain-Malpura","194.16"
"Government Hospital, Badakhera","Ajmer","Jhalawar to Mathura Via Itawa-Indergarh-Sawai Madhopur Road","3919.59"
"Government Hospital, Gaddi Maliyan","Ajmer","Sawarda NH-08 to Ajmer","731.18"
"Government Hospital, Gohana","Ajmer","Beawar Bijaynagar road upto Ras Babra","4900.22"
"Government Hospital, Jaswantpura","Ajmer","Revdar Jaswantpura Bhinmal Bagoda Rangala Chounchwa Fanta","12.54"
"Government Hospital, Kekri","Ajmer","Nasirbad kekri sawer deoli","44.63"
"Government Hospital, Kucheel","Ajmer","Sawarda NH-08 to Ajmer","4102.07"
"Government Hospital, Pahar Ganj","Ajmer","Sawarda NH-08 to Ajmer","961.59"
"Government Hospital, Parao","Ajmer","Sawarda NH-08 to Ajmer","62.57"
"Government Hospital, Soorajpura","Ajmer","Nasirabad Deoli road","412.59"
"Government Primary Satellite Hospital","Ajmer","Ajmer-Pushkar Ghati Road","632.34"
"Government Y.N Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","39.95"
"Goyal Hospital","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","334.01"
"GPM Nursing Home Care","Ajmer","Sawarda NH-08 to Ajmer","26.38"
"Hada Hospital","Ajmer","Ajmer-Srinagar-Arain-Malpura","1337.18"
"J M D Hospital","Ajmer","Beawar Masuda road","242.28"
"J.L.N.Medical College and Hospital,Ajmer","Ajmer","Sawarda NH-08 to Ajmer","357.39"
"Jai Clinic","Ajmer","Beawar Gola Pisangan road","25.25"
"Jain Fertility and Child Icu Hospital","Ajmer","Beawar Masuda road","927.22"
"Janana Hospital Ajmer","Ajmer","Sawarda NH-08 to Ajmer","164.56"
"Jeevan Jyoti Hospital","Ajmer","Sawarda NH-08 to Ajmer","1215.00"
"JMD Hospital & Research Centre","Ajmer","Beawar Masuda road","113.92"
"Jyotirmaya Eye Hospital","Ajmer","Beawar Gola Pisangan road","21.90"
"Kamlesh Memorial Hospital","Ajmer","Ajmer-Srinagar-Arain-Malpura","7.08"
"Kathat Clinic","Ajmer","Beawar Masuda road","25.31"
"Kothari Eye Hospital","Ajmer","Sawarda NH-08 to Ajmer","1919.45"
"Kshetrapal Hospital Multispeciality & Research Centre","Ajmer","Sawarda NH-08 to Ajmer","1787.68"
"Ladli Hospital and Diagnostic Centre","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","127.85"
"Malik Hospital & Fertility Centre","Ajmer","Ajmer-Pushkar Ghati Road","350.20"
"Manipal Hospitals","Ajmer","Sawarda NH-08 to Ajmer","27.30"
"Marble City Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","1098.52"
"Matra Mangal Hospital","Ajmer","Sawarda NH-08 to Ajmer","329.31"
"Mavens Hospital","Ajmer","Sawarda NH-08 to Ajmer","1751.36"
"Mayani Hospital","Ajmer","Sawarda NH-08 to Ajmer","863.72"
"Mental Hospital","Ajmer","Beawar Masuda road","79.51"
"Mewar Hospital","Ajmer","Sawarda NH-08 to Ajmer","1949.51"
"Mewar Hospitals","Ajmer","Sawarda NH-08 to Ajmer","236.59"
"Mission Hospital","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","758.95"
"Mukta Mishri ENT Care","Ajmer","Beawar Masuda road","192.61"
"Navjeevan Hospital and Research Centre","Ajmer","Sawarda NH-08 to Ajmer","28.58"
"Parshwanath Hospital","Ajmer","Beawar Masuda road","1790.73"
"Parshwathnath Hospital","Ajmer","Beawar Masuda road","491.03"
"Porwal Nursing Home","Ajmer","Sawarda NH-08 to Ajmer","701.77"
"Pratap Memorial Hospital and Research Centre","Ajmer","Sawarda NH-08 to Ajmer","506.31"
"R.D. Mittal Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","17.25"
"R.K. Hospital","Ajmer","Ajmer-Pushkar Ghati Road","2092.73"
"R.K.Hospital","Ajmer","Ajmer-Pushkar Ghati Road","2073.01"
"Railway Hospital","Ajmer","Sawarda NH-08 to Ajmer","607.78"
"Rajkiya Chikitsalya, Ajmer","Ajmer","Nasirbad kekri sawer deoli","96.73"
"Rathi Hospital","Ajmer","Beawar Masuda road","1832.08"
"Rathi Hospital, Kishangarh","Ajmer","Kishangarh City (Old NH)","18.83"
"Rishi Ortho Hospital","Ajmer","Beawar Masuda road","94.09"
"Sanjeevani Homoeopathic Clinic","Ajmer","Sawarda NH-08 to Ajmer","1879.87"
"Sanjeevani Hospital","Ajmer","Ajmer-Pushkar Ghati Road","46.78"
"Sanjivani Hospital","Ajmer","Ajmer-Pushkar Ghati Road","33.44"
"Saran Hospital","Ajmer","Ajmer-Pushkar Ghati Road","146.33"
"Saroj Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","24.26"
"Satellite Hospital","Ajmer","Sawarda NH-08 to Ajmer","323.46"
"Satellite Hospital Adarsh Nagar","Ajmer","Sawarda NH-08 to Ajmer","283.28"
"Sewa Mandir Polyclinic","Ajmer","Ajmer-Srinagar-Arain-Malpura","232.44"
"Sewarth Homeopathy Hospital","Ajmer","Sawarda NH-08 to Ajmer","2168.95"
"Sharma Clinic and Nursing Home","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","127.51"
"Sharma Hospital & Diagnostic Centre","Ajmer","Sawarda NH-08 to Ajmer","27.73"
"Shekhawat Hospital","Ajmer","Beawar Gola Pisangan road","47.66"
"Shekhwat Trust Hospital","Ajmer","Beawar Masuda road","543.03"
"Shifa Ayurvedic Centre","Ajmer","Beawar Masuda road","1878.10"
"Shree Balaji Hospital","Ajmer","Sawarda NH-08 to Ajmer","1027.18"
"Shree Charbhuja Hospital","Ajmer","Ajmer-Pushkar Ghati Road","170.90"
"Shree Kanak Hospital","Ajmer","Ajmer-Pushkar Ghati Road","1602.71"
"Shree Maternity Child Hospital","Ajmer","Beawar Masuda road","1339.07"
"Shree PKV Hospital","Ajmer","Satoor NagourBijaynagar Merta city road   Beawer bijainagar","257.40"
"Shri Chandra Jain Hospital","Ajmer","Beawar Masuda road","1164.28"
"Shri Pushkar Jain Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","275.82"
"Shri Rana Hospital & Diagnostic Centre","Ajmer","Ajmer-Pushkar Ghati Road","1381.05"
"Shubham Hospital","Ajmer","Kishangarh City (Old NH)","163.67"
"Shubham Nursing Home & Diagnostic Centre","Ajmer","Kishangarh City (Old NH)","130.06"
"Sir Jitendra Government Hospital","Ajmer","Sawarda NH-08 to Ajmer","50.69"
"SRK ENT Hospital","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","38.20"
"St Francis Hospital, Ajmer","Ajmer","Sawarda NH-08 to Ajmer","160.95"
"St. Francis Hospital","Ajmer","Sawarda NH-08 to Ajmer","21.29"
"Sumitra ENT Clinic","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","319.00"
"T B Hospital","Ajmer","Beawar Masuda road","322.25"
"Upchar Hospital & Diagnostic Centre","Ajmer","Kishangarh to Sangaria (upto State Boarder)","1077.19"
"Upchar Hospital and Diagonstic Centre","Ajmer","Sarwar Arain Kishangarh Parbatsar Road","17.48"
"Uttamchandani Homoeopathic Chikitsalay","Ajmer","Beawar Masuda road","313.15"
"Vaishali Hospital and Research Centre","Ajmer","Sawarda NH-08 to Ajmer","58.21"
"Y.N. Hospital","Ajmer","Sawarda NH-08 to Ajmer","29.61"
"Aameen Clinic","Alwar","Gangapur-Bandikuai Alwar-Bhiwadi 146 to 185","3155.43"
"Aarti Memorial Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1391.66"
"Advance Hospital","Alwar","Bharatpur Alwar Narnaoul Road","117.25"
"Aggarwal Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","24.82"
"Alwar Eye Hospital","Alwar","Bharatpur Alwar Narnaoul Road","26.41"
"Alwar Hospital and Research Centre","Alwar","Karoli Rajgarh Bhiwadi Road","1005.18"
"Anil Nursing Home","Alwar","Bharatpur Alwar Narnaoul Road","1338.35"
"Anjuman Hospital","Alwar","Alwar Bhiwadi Road","26.98"
"Anurag Hospital","Alwar","Bharatpur Alwar Narnaoul Road","366.67"
"Apex Hospital","Alwar","Bharatpur Alwar Narnaoul Road","50.66"
"Arihant Hospital","Alwar","Bharatpur Alwar Narnaoul Road","221.87"
"Arora Orthodontic Hospital","Alwar","Bharatpur Alwar Narnaoul Road","47.61"
"Asha Clinic","Alwar","Kishangarh Town Portion174.400 to 177.600","151.96"
"Asha Skin Clinic","Alwar","Alwar Bhiwadi Road","3121.88"
"Ashirwad Hospital","Alwar","Alwar Bhiwadi Road","272.62"
"Ashok Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","104.93"
"Ayaan Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","60.52"
"Ayush Hospital","Alwar","Bharatpur Alwar Narnaoul Road","342.70"
"B Lal Children Hospital","Alwar","Bharatpur Alwar Narnaoul Road","2329.42"
"Balaji Multispeciality Hospital","Alwar","Alwar Bhiwadi Road","464.99"
"Bansal Children Hospital","Alwar","Alwar Bhiwadi Road","316.66"
"BMR Hospital","Alwar","Alwar Bhiwadi Road","1711.44"
"BSS Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","41.41"
"BSS Hospital & Trauma Centre","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","89.76"
"Chandra Clinic","Alwar","Gangapur-Bandikuai Alwar-Bhiwadi 146 to 185","21.74"
"Chopra Orthopedic Hospital","Alwar","Bharatpur Alwar Narnaoul Road","82.59"
"City Hospital & Trauma Centre","Alwar","Alwar Bhiwadi Road","34.19"
"City Hospital Alwar","Alwar","Bharatpur Alwar Narnaoul Road","114.72"
"City Nursing Home","Alwar","Alwar Bhiwadi Road","3160.80"
"Daksh hospital","Alwar","Karoli Rajgarh Bhiwadi Road","2388.70"
"Darshan Hospital - Alwar","Alwar","Bharatpur Alwar Narnaoul Road","280.59"
"Dev Jan Day Eye Care Centre","Alwar","Bharatpur Alwar Narnaoul Road","1050.11"
"Devjan Eye Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1187.20"
"Dhanesh Hospital","Alwar","Bharatpur Alwar Narnaoul Road","194.57"
"Diamond Hospital","Alwar","Bharatpur Alwar Narnaoul Road","484.10"
"District Children Hospital","Alwar","Bharatpur Alwar Narnaoul Road","252.14"
"Dr Ghanshyam Neuro Spinal and Trauma Hospital","Alwar","Bharatpur Alwar Narnaoul Road","546.00"
"Dr R K Sharma","Alwar","Bharatpur Alwar Narnaoul Road","116.68"
"Dr. Abhishek Goyal","Alwar","Bharatpur Alwar Narnaoul Road","83.94"
"Dr. Ajeet Hospital","Alwar","Majri Neemrana road upto N48","792.13"
"Dr. Amit Khandelwal","Alwar","Bharatpur Alwar Narnaoul Road","30.34"
"Dr. C.P. SHARMA","Alwar","KherliNagar Road","278.53"
"Dr. Chhitarmal Sharma Hospital","Alwar","Ramgarh-Govindgarh-Sikri Road","396.69"
"Dr. Devyani Ranawat Hospital","Alwar","Bharatpur Alwar Narnaoul Road","2467.01"
"Dr. Dinesh Kumar Gour Clinic","Alwar","Gadoj Tassing Behror Mandhan Kathuwas Partapur HR.BORDER","20.51"
"Dr. J.S. Sharma","Alwar","Bharatpur Alwar Narnaoul Road","1524.81"
"Dr. Jain Chaman","Alwar","Bharatpur Alwar Narnaoul Road","222.67"
"Dr. K.S. Arora Kharak Singh","Alwar","Bharatpur Alwar Narnaoul Road","2155.31"
"Dr. Kalpana Mathur","Alwar","Bharatpur Alwar Narnaoul Road","429.96"
"Dr. Manish Jain Clinic","Alwar","Bharatpur Alwar Narnaoul Road","60.51"
"Dr. Manoj Chauhan Clinic","Alwar","Kishangarh-Kotkashim Bolni upto H-border","44.93"
"Dr. Mukesh Saini Skin Care Clinic","Alwar","Bharatpur Alwar Narnaoul Road","104.35"
"Dr. Pankaj Sharma Hospital","Alwar","Bharatpur Alwar Narnaoul Road","28.81"
"Dr. Patel Hospital","Alwar","Bharatpur Alwar Narnaoul Road","340.56"
"Dr. S K Sharma","Alwar","Bharatpur Alwar Narnaoul Road","231.28"
"Dr. Sumit mittal","Alwar","Bharatpur Alwar Narnaoul Road","378.84"
"Dr. Vikram Singh Hospital","Alwar","KherliNagar Road","281.70"
"Dwivedi Hospital and Dental Care","Alwar","Tehla-Rajgarh-Machari Road","412.52"
"ECHS Polyclinic","Alwar","Bharatpur Alwar Behror Narnaul road","202.55"
"Employee's State Insurance Corporation Hospital","Alwar","Bharatpur Alwar Narnaoul Road","2749.57"
"ESIC Hospital","Alwar","Alwar Bhiwadi Road","2012.28"
"ESIC Hospital ,Bhiwadi","Alwar","Alwar Bhiwadi Road","4929.04"
"Gandhi Hospital","Alwar","Alwar Bhiwadi Road","179.44"
"Garg Hospital","Alwar","Alwar Bhiwadi Road","2660.99"
"Garg Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","92.81"
"Geetanand Children Hospital","Alwar","Bharatpur Alwar Narnaoul Road","204.62"
"Geetanjali Hospital","Alwar","Bharatpur Alwar Narnaoul Road","145.36"
"Gera Hospital","Alwar","Alwar Bhiwadi Road","47.80"
"Global Hospital","Alwar","Bharatpur Alwar Narnaoul Road","28.07"
"Gopinath Hospital, Alwar","Alwar","Alwar Bhiwadi Road","3223.75"
"Government Ayurveda Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1043.70"
"Government District Ayurveda Hospital","Alwar","Bharatpur Alwar Narnaoul Road","264.29"
"Government Homeopathic Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1543.58"
"Government Hospital","Alwar","Alwar Bhiwadi Road","501.14"
"Government Hospital Sarai Kalan","Alwar","Ajarka-Sodawas-Bansur-Narainpur- DholaTala Road","719.37"
"Government Hospital Talab","Alwar","TEHLA-RAJGARH-MACHARI ROAD","47.47"
"Government Hospital Tehla","Alwar","TEHLA-RAJGARH-MACHARI ROAD","302.81"
"Government Hospital Thanagazi","Alwar","Sahapura Road","253.51"
"Government Hospital, Bagheri Kalan","Alwar","Sodawas-Harsoli Bibirani Kotkasim BudiBawal Road","3453.25"
"Government Hospital, Bamboli","Alwar","Bharatpur Alwar Narnaul road","4137.06"
"Government Hospital, Basai Jogiyan","Alwar","Sahapura Road","184.45"
"Government Hospital, Behror","Alwar","Bharatpur Alwar Behror Narnaul road","580.92"
"Government Hospital, Bibirani","Alwar","Kishangarh-Kotkashim Bolni upto H-border","125.59"
"Government Hospital, Bichhala","Alwar","Alwar Bhiwadi Road","1828.32"
"Government Hospital, Bijwad Chouhan","Alwar","Ajarka-Sodawas-Bansur-Narainpur- DholaTala Road","4176.32"
"Government Hospital, Bilali","Alwar","SODAWAS ALANPUR BANSUR NARAYANPUR ROAD","2680.27"
"Government Hospital, Chandoli","Alwar","Bharatpur Alwar Narnaoul Road","837.30"
"Government Hospital, Chandpur","Alwar","Sodawas Mundawar Harsauli road","2360.36"
"Government Hospital, Garoo","Alwar","KherliNagar Road","1717.69"
"Government Hospital, Goonta","Alwar","SODAWAS ALANPUR BANSUR NARAYANPUR ROAD","53.75"
"Government Hospital, Ishroda","Alwar","Alwar Bhiwadi Road","2510.52"
"Government Hospital, Kherli","Alwar","KherliNagar Road","315.71"
"Government Hospital, Khijuriwas","Alwar","Alwar Bhiwadi Road","471.81"
"Government Hospital, Kishangarhbas","Alwar","Kishangarh Town Portion174.400 to 177.600","145.44"
"Government Hospital, Kishori","Alwar","Gudhato Sidh Ka Tibara Jhiri Natata Aandhi Road","39.56"
"Government Hospital, Machri","Alwar","Tehla-Rajgarh-Machari Road","1280.05"
"Government Hospital, Maharajawas","Alwar","Bharatpur Alwar Behror Narnaul road","1550.09"
"Government Hospital, Mainpur","Alwar","Sodawas Mundawar Harsauli road","2911.92"
"Government Hospital, Majra","Alwar","Gadoj Tassing Behror Mandhan Mathuwas Partapur road","144.74"
"Government Hospital, Nasopur","Alwar","Sodawas-Harsoli Bibirani Kotkasim BudiBawal Road","2452.85"
"Government Hospital, Nimuchana","Alwar","SODAWAS ALANPUR BANSUR NARAYANPUR ROAD","3477.86"
"Government Hospital, Sirod Khurd","Alwar","Ajarka-Sodawas-Bansur-Narainpur- DholaTala Road","2315.13"
"Government Hospital,Itera","Alwar","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","1771.55"
"Government Life line Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","2847.60"
"Gulab Memorial Hospital","Alwar","Gadoj Tassing Behror Mandhan Kathuwas Partapur HR.BORDER","12.55"
"Gulati Children Hospital","Alwar","Alwar Bhiwadi Road","3198.06"
"Gupta Dental Hospital","Alwar","Bharatpur Alwar Narnaoul Road","526.46"
"Gupta ENT and Heart Centre","Alwar","Bharatpur Alwar Narnaoul Road","913.31"
"Gupta Hospital","Alwar","TEHLA-RAJGARH-MACHARI ROAD","170.67"
"Gupta Nursing Home","Alwar","Gadoj Tassing Behror Mandhan Kathuwas Partapur HR.BORDER","18.53"
"Hari Ram Hospital","Alwar","Alwar Bhiwadi Road","55.80"
"Harish Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","40.80"
"health care","Alwar","Bharatpur Alwar Narnaoul Road","2127.91"
"Hi-Tech Hospital","Alwar","Bharatpur Alwar Narnaoul Road","124.20"
"Hope Well Hospital","Alwar","Gangapur-Bandikuai Alwar-Bhiwadi 146 to 185","375.39"
"Indoria Homoeopathic Hospital & Research Centre","Alwar","Bharatpur Alwar Narnaoul Road","1870.31"
"J D Hospital","Alwar","Bharatpur Alwar Narnaoul Road","430.50"
"Jai Hospital and Trauma Centre","Alwar","Ramgarh-Govindgarh-Sikri Road","25.51"
"Jain Eye Care","Alwar","Bharatpur Alwar Narnaoul Road","27.83"
"Jeevandan Hospital","Alwar","KherliNagar Road","711.82"
"Jhalani Eye Hospital","Alwar","Bharatpur Alwar Narnaoul Road","88.60"
"Johri Hospital","Alwar","Bharatpur Alwar Narnaoul Road","270.25"
"Joshi Dental Hospital","Alwar","Bharatpur Alwar Narnaoul Road","53.91"
"Joshi Eye Hospital","Alwar","Bharatpur Alwar Narnaoul Road","965.14"
"Joy Children Hospital","Alwar","Bharatpur Alwar Narnaoul Road","204.96"
"K.K. Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1459.02"
"Kailash Hospital and Heart Institute","Alwar","Gadoj Tassing Behror Mandhan Kathuwas Partapur HR.BORDER","953.87"
"Kalwari Government Hospital","Alwar","Kathumar Ghosrana Road upto District Border","1596.78"
"Kalyan Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","172.73"
"Kamla Nursing Home","Alwar","Bharatpur Alwar Narnaoul Road","1330.47"
"Life Care Clinic","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","2450.06"
"Life Line Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","17.97"
"Life Line Hospital & Trauma Centre","Alwar","Alwar Bhiwadi Road","2064.42"
"Lions Hospital","Alwar","Bharatpur Alwar Narnaoul Road","738.45"
"Madhuri Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1329.90"
"Mahalaxmi Multispeciality Dental Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1191.88"
"Mahavir HospitaL","Alwar","Karoli Rajgarh Bhiwadi Road","1156.72"
"Mahindirattha Hospital","Alwar","Bharatpur Alwar Narnaoul Road","34.28"
"Manju Hospital","Alwar","Bharatpur Alwar Narnaoul Road","608.97"
"Manohar Eye Hospital","Alwar","Bharatpur Alwar Narnaoul Road","132.10"
"Maya Clinic","Alwar","Alwar Bhiwadi Road","1965.08"
"Mayur Hospital","Alwar","Alwar-Bhiwadi Road","876.01"
"Mehar Memorial Nursing Home","Alwar","Bharatpur Alwar Narnaoul Road","340.54"
"Mendiratta Hospital","Alwar","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","2077.81"
"Miltary Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1836.45"
"Mishri Devi Eye Hospital","Alwar","Gadoj Tassing Behror Mandhan Kathuwas Partapur HR.BORDER","299.00"
"Mittal Child Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1928.22"
"Mittal Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","50.04"
"MTH Hospital","Alwar","Bharatpur Alwar Narnaoul Road","163.54"
"Mukesh Patodia Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","114.85"
"Nandni Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","2682.73"
"Naveen Clinic","Alwar","Bharatpur Alwar Narnaoul Road","159.70"
"Navjeevan Hospital and Truma Centre","Alwar","Karoli Rajgarh Bhiwadi Road","2850.21"
"Neha Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1212.86"
"Netra Jyoti Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1225.53"
"Netra Jyoti Phaco and Laser Centre","Alwar","Bharatpur Alwar Narnaoul Road","486.25"
"Nidhi Hospital","Alwar","Natani ka Bara Laxmangarh Kathumar Nadbai Road","39.49"
"Om Hospital","Alwar","Bharatpur Alwar Behror Narnaul road","58.77"
"Om Hospital, Alwar","Alwar","Alwar Bhiwadi Road","2914.11"
"Patel Hospital","Alwar","Bharatpur Alwar Narnaoul Road","200.57"
"Patodia Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","97.44"
"Patodiya Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","418.29"
"Pragati Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","149.67"
"Prime eye Hospital and Lasik centre","Alwar","Bharatpur Alwar Narnaoul Road","35.94"
"Priyanka Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1681.00"
"R.K Hospital","Alwar","Majri Neemrana road upto N48","22.41"
"Raahat Hospital and Dental Centre","Alwar","Alwar Bhiwadi Road","3146.44"
"Raath Hospital","Alwar","Bharatpur Alwar Behror Narnaul road","318.96"
"Railway Hospital","Alwar","Bharatpur Alwar Narnaoul Road","828.49"
"Rajasthan Eye Centre","Alwar","Bharatpur Alwar Narnaoul Road","37.79"
"Rajesh Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1441.31"
"Rajesh Hospital, Alwar","Alwar","Bharatpur Alwar Narnaoul Road","2377.86"
"Rajkiya Satellite Hospital, Kala Kuan","Alwar","Karoli Rajgarh Bhiwadi Road","2783.33"
"Ram Eye Hospital","Alwar","Bharatpur Alwar Behror Narnaul road","64.68"
"Rihan Clinic","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","19.63"
"Rukhaya Dental Hospital","Alwar","Alwar Bhiwadi Road","37.43"
"S.S. Hospital","Alwar","Alwar Bhiwadi Road","3073.58"
"Sachkhand Hospital","Alwar","Majri Neemrana road upto N48","1962.17"
"Safiya Hospital","Alwar","Bharatpur Alwar Narnaoul Road","1146.65"
"Sahil Hospital Alwar","Alwar","Bharatpur Alwar Narnaoul Road","159.60"
"Sai Charitable Hospital","Alwar","Karoli Rajgarh Bhiwadi Road","324.91"
"Saksham Hospital & Diagnostic Cente","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","83.26"
"Samir ENT Hospital","Alwar","Bharatpur Alwar Narnaoul Road","114.18"
"Sania Hospital","Alwar","Bharatpur Alwar Narnaoul Road","39.80"
"Sant Sukhdev Shah Institute Of Medical Sciences","Alwar","Bharatpur Alwar Narnaoul Road","1030.77"
"Sapra Hospital","Alwar","Bharatpur Alwar Narnaoul Road","55.18"
"Saroj Nursing Home, Alwar","Alwar","Alwar Bhiwadi Road","2987.74"
"Satyam Hospital","Alwar","Sodawas Harsoli Bibirani Kotkasim Budhibawal Tapukara Nuh Rd","26.28"
"Shakuntala Maternity & Nursing Home","Alwar","Alwar Bhiwadi Road","3480.28"
"Sheetal Hospital","Alwar","SODAWAS ALANPUR BANSUR NARAYANPUR ROAD","162.08"
"Shiv Clinic","Alwar","SODAWAS ALANPUR BANSUR NARAYANPUR ROAD","19.75"
"Shivam Eye Hospital","Alwar","Alwar Bhiwadi Road","419.07"
"Shree Shyam Lal Juneja Hospital","Alwar","Bharatpur Alwar Narnaoul Road","2156.33"
"Shri Govind Dev Ji Maharaj Chikitsa and Swastha Sanstha","Alwar","Karoli Rajgarh Bhiwadi Road","2285.33"
